time,tasmin_day_drought_HadGEM2-ES_rcp85_late_century
2046-11-25 00:00:00+00:00,273.43765
2046-11-26 00:00:00+00:00,277.08704
2046-11-27 00:00:00+00:00,275.97748
2046-11-28 00:00:00+00:00,281.22778
2046-11-29 00:00:00+00:00,279.31558
2046-11-30 00:00:00+00:00,280.06018
2046-12-01 00:00:00+00:00,278.9415
2046-12-02 00:00:00+00:00,278.0041
2046-12-03 00:00:00+00:00,275.68015
2046-12-04 00:00:00+00:00,274.33093
2046-12-05 00:00:00+00:00,275.4906
2046-12-06 00:00:00+00:00,278.2975
2046-12-07 00:00:00+00:00,273.88263
2046-12-08 00:00:00+00:00,269.38446
2046-12-09 00:00:00+00:00,275.27118
2046-12-10 00:00:00+00:00,275.63202
2046-12-11 00:00:00+00:00,273.44827
2046-12-12 00:00:00+00:00,279.19193
2046-12-13 00:00:00+00:00,280.51776
2046-12-14 00:00:00+00:00,282.2171
2046-12-15 00:00:00+00:00,277.36185
2046-12-16 00:00:00+00:00,274.30426
2046-12-17 00:00:00+00:00,272.2313
2046-12-18 00:00:00+00:00,274.18567
2046-12-19 00:00:00+00:00,273.94275
2046-12-20 00:00:00+00:00,275.99637
2046-12-21 00:00:00+00:00,277.38913
2046-12-22 00:00:00+00:00,273.64505
2046-12-23 00:00:00+00:00,274.77148
2046-12-24 00:00:00+00:00,272.58212
2046-12-25 00:00:00+00:00,272.95294
2046-12-26 00:00:00+00:00,275.59982
2046-12-27 00:00:00+00:00,280.05792
2046-12-28 00:00:00+00:00,281.93796
2046-12-29 00:00:00+00:00,278.7694
2046-12-30 00:00:00+00:00,278.9724
2046-12-31 00:00:00+00:00,275.4503
2047-01-01 00:00:00+00:00,276.35565
2047-01-02 00:00:00+00:00,275.41144
2047-01-03 00:00:00+00:00,275.01385
2047-01-04 00:00:00+00:00,275.73367
2047-01-05 00:00:00+00:00,276.80115
2047-01-06 00:00:00+00:00,281.61243
2047-01-07 00:00:00+00:00,281.0575
2047-01-08 00:00:00+00:00,279.26413
2047-01-09 00:00:00+00:00,277.26282
2047-01-10 00:00:00+00:00,273.16324
2047-01-11 00:00:00+00:00,274.15207
2047-01-12 00:00:00+00:00,278.59943
2047-01-13 00:00:00+00:00,283.1247
2047-01-14 00:00:00+00:00,283.67398
2047-01-15 00:00:00+00:00,286.0707
2047-01-16 00:00:00+00:00,282.48685
2047-01-17 00:00:00+00:00,278.11038
2047-01-18 00:00:00+00:00,275.8409
2047-01-19 00:00:00+00:00,276.55737
2047-01-20 00:00:00+00:00,277.81805
2047-01-21 00:00:00+00:00,275.27444
2047-01-22 00:00:00+00:00,275.9921
2047-01-23 00:00:00+00:00,275.79456
2047-01-24 00:00:00+00:00,277.10153
2047-01-25 00:00:00+00:00,276.68802
2047-01-26 00:00:00+00:00,276.56754
2047-01-27 00:00:00+00:00,276.18488
2047-01-28 00:00:00+00:00,277.11755
2047-01-29 00:00:00+00:00,278.54727
2047-01-30 00:00:00+00:00,278.87247
2047-01-31 00:00:00+00:00,279.67712
2047-02-01 00:00:00+00:00,279.20755
2047-02-02 00:00:00+00:00,277.98907
2047-02-03 00:00:00+00:00,283.96008
2047-02-04 00:00:00+00:00,281.3475
2047-02-05 00:00:00+00:00,278.8407
2047-02-06 00:00:00+00:00,280.3369
2047-02-07 00:00:00+00:00,278.1997
2047-02-08 00:00:00+00:00,278.72403
2047-02-09 00:00:00+00:00,282.61163
2047-02-10 00:00:00+00:00,278.44788
2047-02-11 00:00:00+00:00,278.20776
2047-02-12 00:00:00+00:00,273.79092
2047-02-13 00:00:00+00:00,276.91476
2047-02-14 00:00:00+00:00,277.23276
2047-02-15 00:00:00+00:00,274.13806
2047-02-16 00:00:00+00:00,275.70163
2047-02-17 00:00:00+00:00,275.1953
2047-02-18 00:00:00+00:00,275.7015
2047-02-19 00:00:00+00:00,279.11526
2047-02-20 00:00:00+00:00,279.18008
2047-02-21 00:00:00+00:00,277.96902
2047-02-22 00:00:00+00:00,279.04654
2047-02-23 00:00:00+00:00,280.19315
2047-02-24 00:00:00+00:00,280.95746
2047-02-25 00:00:00+00:00,282.41327
2047-02-26 00:00:00+00:00,276.61444
2047-02-27 00:00:00+00:00,276.04346
2047-02-28 00:00:00+00:00,279.01993
2047-03-01 00:00:00+00:00,274.99084
2047-03-02 00:00:00+00:00,274.88007
2047-03-03 00:00:00+00:00,275.92813
2047-03-04 00:00:00+00:00,277.21945
2047-03-05 00:00:00+00:00,277.68134
2047-03-06 00:00:00+00:00,279.70364
2047-03-07 00:00:00+00:00,277.64673
2047-03-08 00:00:00+00:00,277.4675
2047-03-09 00:00:00+00:00,277.47726
2047-03-10 00:00:00+00:00,275.69302
2047-03-11 00:00:00+00:00,275.8619
2047-03-12 00:00:00+00:00,275.1218
2047-03-13 00:00:00+00:00,282.2317
2047-03-14 00:00:00+00:00,282.65216
2047-03-15 00:00:00+00:00,282.7571
2047-03-16 00:00:00+00:00,280.21924
2047-03-17 00:00:00+00:00,279.92255
2047-03-18 00:00:00+00:00,281.98105
2047-03-19 00:00:00+00:00,279.52344
2047-03-20 00:00:00+00:00,279.16693
2047-03-21 00:00:00+00:00,279.39972
2047-03-22 00:00:00+00:00,279.73483
2047-03-23 00:00:00+00:00,280.40518
2047-03-24 00:00:00+00:00,280.04843
2047-03-25 00:00:00+00:00,280.93054
2047-03-26 00:00:00+00:00,276.61115
2047-03-27 00:00:00+00:00,275.99167
2047-03-28 00:00:00+00:00,279.30383
2047-03-29 00:00:00+00:00,277.39008
2047-03-30 00:00:00+00:00,276.97723
2047-03-31 00:00:00+00:00,277.39835
2047-04-01 00:00:00+00:00,277.13913
2047-04-02 00:00:00+00:00,281.13293
2047-04-03 00:00:00+00:00,278.36267
2047-04-04 00:00:00+00:00,278.67212
2047-04-05 00:00:00+00:00,280.02042
2047-04-06 00:00:00+00:00,277.26364
2047-04-07 00:00:00+00:00,275.54797
2047-04-08 00:00:00+00:00,276.2684
2047-04-09 00:00:00+00:00,278.18015
2047-04-10 00:00:00+00:00,282.22342
2047-04-11 00:00:00+00:00,282.7255
2047-04-12 00:00:00+00:00,282.7884
2047-04-13 00:00:00+00:00,279.32993
2047-04-14 00:00:00+00:00,280.07077
