time,tasmax_day_drought_HadGEM2-ES_rcp85_late_century
2046-10-03 00:00:00+00:00,298.11667
2046-10-04 00:00:00+00:00,296.71948
2046-10-05 00:00:00+00:00,297.3742
2046-10-06 00:00:00+00:00,297.757
2046-10-07 00:00:00+00:00,299.33984
2046-10-08 00:00:00+00:00,298.06387
2046-10-09 00:00:00+00:00,296.97107
2046-10-10 00:00:00+00:00,293.66312
2046-10-11 00:00:00+00:00,294.77545
2046-10-12 00:00:00+00:00,296.5236
2046-10-13 00:00:00+00:00,295.9137
2046-10-14 00:00:00+00:00,296.32947
2046-10-15 00:00:00+00:00,296.8398
2046-10-16 00:00:00+00:00,298.9864
2046-10-17 00:00:00+00:00,300.5515
2046-10-18 00:00:00+00:00,301.0163
2046-10-19 00:00:00+00:00,299.48218
2046-10-20 00:00:00+00:00,299.18057
2046-10-21 00:00:00+00:00,298.00757
2046-10-22 00:00:00+00:00,295.057
2046-10-23 00:00:00+00:00,292.80338
2046-10-24 00:00:00+00:00,294.96423
2046-10-25 00:00:00+00:00,297.10294
2046-10-26 00:00:00+00:00,298.2804
2046-10-27 00:00:00+00:00,296.3752
2046-10-28 00:00:00+00:00,293.65845
2046-10-29 00:00:00+00:00,291.77356
2046-10-30 00:00:00+00:00,289.2093
2046-10-31 00:00:00+00:00,289.40878
2046-11-01 00:00:00+00:00,288.97043
2046-11-02 00:00:00+00:00,287.93744
2046-11-03 00:00:00+00:00,288.95157
2046-11-04 00:00:00+00:00,290.92892
2046-11-05 00:00:00+00:00,289.66525
2046-11-06 00:00:00+00:00,290.48605
2046-11-07 00:00:00+00:00,289.7838
2046-11-08 00:00:00+00:00,292.04752
2046-11-09 00:00:00+00:00,293.7958
2046-11-10 00:00:00+00:00,294.42493
2046-11-11 00:00:00+00:00,294.2764
2046-11-12 00:00:00+00:00,294.34973
2046-11-13 00:00:00+00:00,296.40952
2046-11-14 00:00:00+00:00,296.62183
2046-11-15 00:00:00+00:00,295.4861
2046-11-16 00:00:00+00:00,291.0981
2046-11-17 00:00:00+00:00,288.69305
2046-11-18 00:00:00+00:00,288.93582
2046-11-19 00:00:00+00:00,290.808
2046-11-20 00:00:00+00:00,291.75272
2046-11-21 00:00:00+00:00,293.03635
2046-11-22 00:00:00+00:00,291.2395
2046-11-23 00:00:00+00:00,291.03247
2046-11-24 00:00:00+00:00,290.06122
2046-11-25 00:00:00+00:00,289.97968
2046-11-26 00:00:00+00:00,291.39078
2046-11-27 00:00:00+00:00,290.4823
2046-11-28 00:00:00+00:00,288.4801
2046-11-29 00:00:00+00:00,288.95554
2046-11-30 00:00:00+00:00,289.492
2046-12-01 00:00:00+00:00,288.50894
2046-12-02 00:00:00+00:00,287.36816
2046-12-03 00:00:00+00:00,288.16708
2046-12-04 00:00:00+00:00,288.22717
2046-12-05 00:00:00+00:00,288.8021
2046-12-06 00:00:00+00:00,287.1438
2046-12-07 00:00:00+00:00,286.458
2046-12-08 00:00:00+00:00,287.00262
2046-12-09 00:00:00+00:00,286.1783
2046-12-10 00:00:00+00:00,284.59885
2046-12-11 00:00:00+00:00,287.73315
2046-12-12 00:00:00+00:00,286.79013
2046-12-13 00:00:00+00:00,287.93332
2046-12-14 00:00:00+00:00,289.18396
2046-12-15 00:00:00+00:00,289.2003
2046-12-16 00:00:00+00:00,289.05875
2046-12-17 00:00:00+00:00,290.14978
2046-12-18 00:00:00+00:00,289.49246
2046-12-19 00:00:00+00:00,289.68365
2046-12-20 00:00:00+00:00,288.45773
2046-12-21 00:00:00+00:00,290.07382
2046-12-22 00:00:00+00:00,289.66336
2046-12-23 00:00:00+00:00,289.06818
2046-12-24 00:00:00+00:00,288.6928
2046-12-25 00:00:00+00:00,288.58542
2046-12-26 00:00:00+00:00,289.02417
2046-12-27 00:00:00+00:00,288.4311
2046-12-28 00:00:00+00:00,287.04755
2046-12-29 00:00:00+00:00,287.7555
2046-12-30 00:00:00+00:00,287.8664
2046-12-31 00:00:00+00:00,290.76843
2047-01-01 00:00:00+00:00,291.81058
2047-01-02 00:00:00+00:00,292.60355
2047-01-03 00:00:00+00:00,290.91486
2047-01-04 00:00:00+00:00,290.15222
2047-01-05 00:00:00+00:00,291.36597
2047-01-06 00:00:00+00:00,287.74084
2047-01-07 00:00:00+00:00,286.07278
2047-01-08 00:00:00+00:00,285.70108
2047-01-09 00:00:00+00:00,284.78558
2047-01-10 00:00:00+00:00,287.1207
2047-01-11 00:00:00+00:00,290.00574
2047-01-12 00:00:00+00:00,288.23175
2047-01-13 00:00:00+00:00,286.48364
2047-01-14 00:00:00+00:00,287.87323
2047-01-15 00:00:00+00:00,290.52634
2047-01-16 00:00:00+00:00,290.95157
2047-01-17 00:00:00+00:00,289.1708
2047-01-18 00:00:00+00:00,287.02216
2047-01-19 00:00:00+00:00,283.28223
2047-01-20 00:00:00+00:00,282.9711
2047-01-21 00:00:00+00:00,284.02783
2047-01-22 00:00:00+00:00,283.88757
2047-01-23 00:00:00+00:00,286.53357
2047-01-24 00:00:00+00:00,288.4191
2047-01-25 00:00:00+00:00,290.1127
2047-01-26 00:00:00+00:00,290.83005
2047-01-27 00:00:00+00:00,293.11215
2047-01-28 00:00:00+00:00,293.85242
2047-01-29 00:00:00+00:00,293.61682
2047-01-30 00:00:00+00:00,293.33353
2047-01-31 00:00:00+00:00,294.06973
2047-02-01 00:00:00+00:00,294.03497
2047-02-02 00:00:00+00:00,293.0552
2047-02-03 00:00:00+00:00,289.62775
2047-02-04 00:00:00+00:00,288.6573
2047-02-05 00:00:00+00:00,287.45364
2047-02-06 00:00:00+00:00,286.13297
2047-02-07 00:00:00+00:00,286.08044
2047-02-08 00:00:00+00:00,287.775
2047-02-09 00:00:00+00:00,286.31015
2047-02-10 00:00:00+00:00,287.5343
2047-02-11 00:00:00+00:00,287.0732
2047-02-12 00:00:00+00:00,290.28622
2047-02-13 00:00:00+00:00,290.44193
2047-02-14 00:00:00+00:00,290.14044
2047-02-15 00:00:00+00:00,288.4722
2047-02-16 00:00:00+00:00,286.05106
2047-02-17 00:00:00+00:00,286.5634
2047-02-18 00:00:00+00:00,285.7964
2047-02-19 00:00:00+00:00,289.00623
2047-02-20 00:00:00+00:00,292.06384
2047-02-21 00:00:00+00:00,294.3446
2047-02-22 00:00:00+00:00,292.94873
2047-02-23 00:00:00+00:00,292.14005
2047-02-24 00:00:00+00:00,293.2574
2047-02-25 00:00:00+00:00,290.4222
2047-02-26 00:00:00+00:00,289.40497
2047-02-27 00:00:00+00:00,291.21695
2047-02-28 00:00:00+00:00,293.4821
2047-03-01 00:00:00+00:00,293.3618
2047-03-02 00:00:00+00:00,294.99487
2047-03-03 00:00:00+00:00,295.9182
2047-03-04 00:00:00+00:00,296.05817
2047-03-05 00:00:00+00:00,295.65833
2047-03-06 00:00:00+00:00,288.86255
2047-03-07 00:00:00+00:00,285.0007
2047-03-08 00:00:00+00:00,286.2918
2047-03-09 00:00:00+00:00,287.6995
2047-03-10 00:00:00+00:00,290.83792
2047-03-11 00:00:00+00:00,290.58716
2047-03-12 00:00:00+00:00,289.95184
2047-03-13 00:00:00+00:00,288.651
2047-03-14 00:00:00+00:00,288.5489
2047-03-15 00:00:00+00:00,290.22437
2047-03-16 00:00:00+00:00,292.79306
2047-03-17 00:00:00+00:00,294.3278
2047-03-18 00:00:00+00:00,293.3204
2047-03-19 00:00:00+00:00,295.83633
2047-03-20 00:00:00+00:00,297.5459
2047-03-21 00:00:00+00:00,298.61346
2047-03-22 00:00:00+00:00,296.18567
2047-03-23 00:00:00+00:00,292.95758
2047-03-24 00:00:00+00:00,292.21246
2047-03-25 00:00:00+00:00,291.20248
2047-03-26 00:00:00+00:00,289.96237
2047-03-27 00:00:00+00:00,289.6171
2047-03-28 00:00:00+00:00,287.67587
2047-03-29 00:00:00+00:00,288.29547
2047-03-30 00:00:00+00:00,292.251
2047-03-31 00:00:00+00:00,295.1507
2047-04-01 00:00:00+00:00,295.32544
2047-04-02 00:00:00+00:00,296.1597
2047-04-03 00:00:00+00:00,295.85287
2047-04-04 00:00:00+00:00,294.34778
2047-04-05 00:00:00+00:00,292.25214
2047-04-06 00:00:00+00:00,289.8756
2047-04-07 00:00:00+00:00,290.03583
2047-04-08 00:00:00+00:00,292.57956
2047-04-09 00:00:00+00:00,293.695
2047-04-10 00:00:00+00:00,293.3422
2047-04-11 00:00:00+00:00,292.6469
2047-04-12 00:00:00+00:00,293.35663
2047-04-13 00:00:00+00:00,292.6099
2047-04-14 00:00:00+00:00,293.43295
2047-04-15 00:00:00+00:00,290.671
2047-04-16 00:00:00+00:00,290.80698
2047-04-17 00:00:00+00:00,288.9548
2047-04-18 00:00:00+00:00,290.7986
2047-04-19 00:00:00+00:00,295.4681
2047-04-20 00:00:00+00:00,299.48355
2047-04-21 00:00:00+00:00,298.7257
2047-04-22 00:00:00+00:00,293.39197
2047-04-23 00:00:00+00:00,295.75366
2047-04-24 00:00:00+00:00,297.26407
2047-04-25 00:00:00+00:00,299.6326
2047-04-26 00:00:00+00:00,299.34927
2047-04-27 00:00:00+00:00,296.64825
2047-04-28 00:00:00+00:00,296.4094
2047-04-29 00:00:00+00:00,294.49933
2047-04-30 00:00:00+00:00,297.44803
2047-05-01 00:00:00+00:00,296.698
2047-05-02 00:00:00+00:00,294.3029
2047-05-03 00:00:00+00:00,294.54675
2047-05-04 00:00:00+00:00,293.23138
2047-05-05 00:00:00+00:00,292.17743
