time,pr_day_drought_HadGEM2-ES_rcp85_late_century
2047-03-06 00:00:00+00:00,2.4980001
2047-03-07 00:00:00+00:00,3.1435
2047-03-08 00:00:00+00:00,3.563
2047-03-09 00:00:00+00:00,3.6420002
2047-03-10 00:00:00+00:00,0.0
2047-03-11 00:00:00+00:00,0.0005
2047-03-12 00:00:00+00:00,3.9795
2047-03-13 00:00:00+00:00,22.2765
2047-03-14 00:00:00+00:00,9.0175
2047-03-15 00:00:00+00:00,5.038
2047-03-16 00:00:00+00:00,0.0
2047-03-17 00:00:00+00:00,0.0
2047-03-18 00:00:00+00:00,0.0
2047-03-19 00:00:00+00:00,0.0
2047-03-20 00:00:00+00:00,0.0
2047-03-21 00:00:00+00:00,0.0
2047-03-22 00:00:00+00:00,0.0
2047-03-23 00:00:00+00:00,0.0
2047-03-24 00:00:00+00:00,0.2885
2047-03-25 00:00:00+00:00,1.6215001
2047-03-26 00:00:00+00:00,0.025
2047-03-27 00:00:00+00:00,0.0
2047-03-28 00:00:00+00:00,7.47
2047-03-29 00:00:00+00:00,5.72
2047-03-30 00:00:00+00:00,0.0
2047-03-31 00:00:00+00:00,0.0
2047-04-01 00:00:00+00:00,0.017
2047-04-02 00:00:00+00:00,0.0
2047-04-03 00:00:00+00:00,0.0
2047-04-04 00:00:00+00:00,0.0
2047-04-05 00:00:00+00:00,0.0015
2047-04-06 00:00:00+00:00,0.0
2047-04-07 00:00:00+00:00,0.0
2047-04-08 00:00:00+00:00,0.053500004
2047-04-09 00:00:00+00:00,0.039
2047-04-10 00:00:00+00:00,0.047
2047-04-11 00:00:00+00:00,0.603
2047-04-12 00:00:00+00:00,0.1075
2047-04-13 00:00:00+00:00,0.0
2047-04-14 00:00:00+00:00,0.0015
2047-04-15 00:00:00+00:00,5.5230007
2047-04-16 00:00:00+00:00,0.1915
2047-04-17 00:00:00+00:00,19.5225
2047-04-18 00:00:00+00:00,8.188499
2047-04-19 00:00:00+00:00,0.0
2047-04-20 00:00:00+00:00,0.0
2047-04-21 00:00:00+00:00,0.0
2047-04-22 00:00:00+00:00,0.035
2047-04-23 00:00:00+00:00,0.0
2047-04-24 00:00:00+00:00,0.0
2047-04-25 00:00:00+00:00,0.0
2047-04-26 00:00:00+00:00,0.0
2047-04-27 00:00:00+00:00,0.14850001
2047-04-28 00:00:00+00:00,0.0
2047-04-29 00:00:00+00:00,0.0085
2047-04-30 00:00:00+00:00,0.20650001
2047-05-01 00:00:00+00:00,0.16299999
2047-05-02 00:00:00+00:00,0.0125
2047-05-03 00:00:00+00:00,0.613
2047-05-04 00:00:00+00:00,0.0
2047-05-05 00:00:00+00:00,0.17449999
2047-05-06 00:00:00+00:00,0.0005
2047-05-07 00:00:00+00:00,0.0
2047-05-08 00:00:00+00:00,0.0
2047-05-09 00:00:00+00:00,0.0
2047-05-10 00:00:00+00:00,0.0
2047-05-11 00:00:00+00:00,0.0
2047-05-12 00:00:00+00:00,0.001
2047-05-13 00:00:00+00:00,0.0505
2047-05-14 00:00:00+00:00,0.921
2047-05-15 00:00:00+00:00,0.0
2047-05-16 00:00:00+00:00,0.0
2047-05-17 00:00:00+00:00,0.0
2047-05-18 00:00:00+00:00,0.0
2047-05-19 00:00:00+00:00,0.098500006
2047-05-20 00:00:00+00:00,0.0
2047-05-21 00:00:00+00:00,0.0
2047-05-22 00:00:00+00:00,0.0
2047-05-23 00:00:00+00:00,0.0
2047-05-24 00:00:00+00:00,0.0
2047-05-25 00:00:00+00:00,0.0
2047-05-26 00:00:00+00:00,0.0
2047-05-27 00:00:00+00:00,0.0
2047-05-28 00:00:00+00:00,0.0
2047-05-29 00:00:00+00:00,0.0
2047-05-30 00:00:00+00:00,0.0
2047-05-31 00:00:00+00:00,0.058499996
2047-06-01 00:00:00+00:00,0.341
2047-06-02 00:00:00+00:00,0.021000002
2047-06-03 00:00:00+00:00,0.015500001
2047-06-04 00:00:00+00:00,0.0125
2047-06-05 00:00:00+00:00,0.0
2047-06-06 00:00:00+00:00,0.0145000005
2047-06-07 00:00:00+00:00,0.0
2047-06-08 00:00:00+00:00,0.018
2047-06-09 00:00:00+00:00,0.001
2047-06-10 00:00:00+00:00,0.0055
2047-06-11 00:00:00+00:00,0.0034999999
2047-06-12 00:00:00+00:00,0.0
2047-06-13 00:00:00+00:00,0.0
2047-06-14 00:00:00+00:00,0.0
2047-06-15 00:00:00+00:00,0.008
2047-06-16 00:00:00+00:00,0.0
2047-06-17 00:00:00+00:00,0.0
2047-06-18 00:00:00+00:00,0.0
2047-06-19 00:00:00+00:00,0.0
2047-06-20 00:00:00+00:00,0.0
2047-06-21 00:00:00+00:00,0.0
2047-06-22 00:00:00+00:00,0.0
2047-06-23 00:00:00+00:00,0.0
2047-06-24 00:00:00+00:00,0.0
2047-06-25 00:00:00+00:00,0.0
2047-06-26 00:00:00+00:00,0.0
2047-06-27 00:00:00+00:00,0.0
2047-06-28 00:00:00+00:00,0.0
2047-06-29 00:00:00+00:00,0.0
2047-06-30 00:00:00+00:00,0.0
2047-07-01 00:00:00+00:00,0.2165
2047-07-02 00:00:00+00:00,0.0
2047-07-03 00:00:00+00:00,0.002
2047-07-04 00:00:00+00:00,0.0085
2047-07-05 00:00:00+00:00,0.0
2047-07-06 00:00:00+00:00,0.2525
2047-07-07 00:00:00+00:00,0.003
2047-07-08 00:00:00+00:00,0.068500005
2047-07-09 00:00:00+00:00,0.0
2047-07-10 00:00:00+00:00,0.0
2047-07-11 00:00:00+00:00,0.0
2047-07-12 00:00:00+00:00,0.0
2047-07-13 00:00:00+00:00,0.007999999
2047-07-14 00:00:00+00:00,0.0
2047-07-15 00:00:00+00:00,0.0
2047-07-16 00:00:00+00:00,0.0
