time,et_day_drought_HadGEM2-ES_rcp85_late_century
2046-09-14 00:00:00+00:00,0.010132376
2046-09-15 00:00:00+00:00,0.13303323
2046-09-16 00:00:00+00:00,0.01827275
2046-09-17 00:00:00+00:00,0.014728105
2046-09-18 00:00:00+00:00,0.01214174
2046-09-19 00:00:00+00:00,0.0103169605
2046-09-20 00:00:00+00:00,0.009147989
2046-09-21 00:00:00+00:00,0.007645567
2046-09-22 00:00:00+00:00,0.0061371387
2046-09-23 00:00:00+00:00,0.005410531
2046-09-24 00:00:00+00:00,0.004766583
2046-09-25 00:00:00+00:00,0.0046099573
2046-09-26 00:00:00+00:00,0.004197192
2046-09-27 00:00:00+00:00,0.0038799173
2046-09-28 00:00:00+00:00,0.0031775043
2046-09-29 00:00:00+00:00,0.0028736505
2046-09-30 00:00:00+00:00,0.0017809549
2046-10-01 00:00:00+00:00,0.0012977801
2046-10-02 00:00:00+00:00,0.014631797
2046-10-03 00:00:00+00:00,0.00086336007
2046-10-04 00:00:00+00:00,0.017112968
2046-10-05 00:00:00+00:00,0.91152835
2046-10-06 00:00:00+00:00,0.053598575
2046-10-07 00:00:00+00:00,0.043881297
2046-10-08 00:00:00+00:00,0.037800826
2046-10-09 00:00:00+00:00,0.032808974
2046-10-10 00:00:00+00:00,0.11673873
2046-10-11 00:00:00+00:00,0.44183365
2046-10-12 00:00:00+00:00,0.110060714
2046-10-13 00:00:00+00:00,0.21664454
2046-10-14 00:00:00+00:00,0.105389655
2046-10-15 00:00:00+00:00,0.099875115
2046-10-16 00:00:00+00:00,0.09672431
2046-10-17 00:00:00+00:00,0.09080159
2046-10-18 00:00:00+00:00,0.08789199
2046-10-19 00:00:00+00:00,0.07895029
2046-10-20 00:00:00+00:00,0.072084635
2046-10-21 00:00:00+00:00,0.06455216
2046-10-22 00:00:00+00:00,0.04998497
2046-10-23 00:00:00+00:00,0.037201323
2046-10-24 00:00:00+00:00,0.28930497
2046-10-25 00:00:00+00:00,0.056933448
2046-10-26 00:00:00+00:00,0.1010527
2046-10-27 00:00:00+00:00,0.045086518
2046-10-28 00:00:00+00:00,0.13960876
2046-10-29 00:00:00+00:00,0.035613712
2046-10-30 00:00:00+00:00,0.051117703
2046-10-31 00:00:00+00:00,0.022815663
2046-11-01 00:00:00+00:00,0.01915518
2046-11-02 00:00:00+00:00,0.014418725
2046-11-03 00:00:00+00:00,0.72419244
2046-11-04 00:00:00+00:00,0.16375338
2046-11-05 00:00:00+00:00,0.14747992
2046-11-06 00:00:00+00:00,0.14251666
2046-11-07 00:00:00+00:00,0.38400215
2046-11-08 00:00:00+00:00,0.16923064
2046-11-09 00:00:00+00:00,0.19950889
